donor,proportion,passage,harvestday,well,um_pb2
CHB4,0.00878,1,6,3,0
CHB11,0.01924,1,6,3,0
CSES15,0.03748,1,6,3,0
CSES25,0.01324,1,6,3,0
CT2,0.02477,1,6,3,0
CT4,0.02613,1,6,3,0
ESI017,0.02358,1,6,3,0
ESI049,0.05276,1,6,3,0
ESI051,0.02493,1,6,3,0
Genea15,0.00761,1,6,3,0
Genea16,0.01867,1,6,3,0
Genea42,0.01402,1,6,3,0
Genea47,0.01218,1,6,3,0
Genea52,0.03567,1,6,3,0
HS401,0.09666,1,6,3,0
HS420,0.02491,1,6,3,0
HUES42,0.02949,1,6,3,0
HUES44,0.03199,1,6,3,0
HUES45,0.01753,1,6,3,0
HUES49,0.02262,1,6,3,0
HUES63,0.0452,1,6,3,0
HUES64,0.02146,1,6,3,0
HUES75,0.02494,1,6,3,0
Mel2,0.013,1,6,3,0
RUES1,0.01317,1,6,3,0
UCLA10,0.03035,1,6,3,0
UCLA13,0.02206,1,6,3,0
UCLA2,0.00829,1,6,3,0
UCSF4,0.0279,1,6,3,0
UM14-1,0.0478,1,6,3,0
UM77-2,0.00798,1,6,3,0
WA7,0.00752,1,6,3,0
WA09,0.02449,1,6,3,0
WA13,0.03871,1,6,3,0
WA15,0.03638,1,6,3,0
WA17,0.04743,1,6,3,0
WA22,0.03579,1,6,3,0
WA24,0.00528,1,6,3,0
CHB4,0.01044,1,6,3,10
CHB11,0.01888,1,6,3,10
CSES15,0.05326,1,6,3,10
CSES25,0.01754,1,6,3,10
CT2,0.03005,1,6,3,10
CT4,0.03136,1,6,3,10
ESI017,0.02264,1,6,3,10
ESI049,0.07218,1,6,3,10
ESI051,0.02428,1,6,3,10
Genea15,0.00823,1,6,3,10
Genea16,0.01764,1,6,3,10
Genea42,0.01209,1,6,3,10
Genea47,0.00773,1,6,3,10
Genea52,0.02446,1,6,3,10
HS401,0.10648,1,6,3,10
HS420,0.02055,1,6,3,10
HUES42,0.02087,1,6,3,10
HUES44,0.02895,1,6,3,10
HUES45,0.01289,1,6,3,10
HUES49,0.02765,1,6,3,10
HUES63,0.0565,1,6,3,10
HUES64,0.01726,1,6,3,10
HUES75,0.02048,1,6,3,10
Mel2,0.01082,1,6,3,10
